PublicationYear,PMID,Type
2017,30166548,JOURNAL ARTICLE
2018,30165868,JOURNAL ARTICLE
2018,30165777,JOURNAL ARTICLE
2018,30165733,JOURNAL ARTICLE
2018,30165200,JOURNAL ARTICLE
2018,30165117,JOURNAL ARTICLE
2018,30160938,JOURNAL ARTICLE
2018,30160099,LETTER
2018,30158186,JOURNAL ARTICLE
2018,30157641,JOURNAL ARTICLE
2018,30155358,JOURNAL ARTICLE
2018,30154259,JOURNAL ARTICLE
2018,30153835,JOURNAL ARTICLE
2018,30153012,JOURNAL ARTICLE
2018,30152993,JOURNAL ARTICLE
2018,30152871,JOURNAL ARTICLE
2018,30152217,JOURNAL ARTICLE
2018,30150322,JOURNAL ARTICLE
2018,30148365,JOURNAL ARTICLE
2018,30143507,EVALUATION STUDY
2018,30138555,JOURNAL ARTICLE
2018,30137989,JOURNAL ARTICLE
2018,30137492,JOURNAL ARTICLE
2018,30135682,JOURNAL ARTICLE
2017,30131493,JOURNAL ARTICLE
2018,30128965,JOURNAL ARTICLE
2018,30127848,JOURNAL ARTICLE
2018,30126060,JOURNAL ARTICLE
2017,30125957,JOURNAL ARTICLE
2018,30125497,JOURNAL ARTICLE
2018,30125482,JOURNAL ARTICLE
2018,30125104,JOURNAL ARTICLE
2018,30123943,HISTORICAL ARTICLE
2018,30123321,JOURNAL ARTICLE
2018,30123320,JOURNAL ARTICLE
2017,30121875,JOURNAL ARTICLE
2018,30120125,JOURNAL ARTICLE
2018,30119599,JOURNAL ARTICLE
2018,30115374,JOURNAL ARTICLE
2018,30114904,JOURNAL ARTICLE
2018,30113814,JOURNAL ARTICLE
2018,30113093,JOURNAL ARTICLE
2018,30110361,JOURNAL ARTICLE
2018,30109660,JOURNAL ARTICLE
2018,30109657,JOURNAL ARTICLE
2018,30109656,JOURNAL ARTICLE
2018,30109654,JOURNAL ARTICLE
2018,30109606,JOURNAL ARTICLE
2018,30107853,JOURNAL ARTICLE
2018,30107122,JOURNAL ARTICLE
2018,30105008,JOURNAL ARTICLE
2018,30104592,EDITORIAL
2018,30104010,HISTORICAL ARTICLE
2018,30103600,JOURNAL ARTICLE
2018,30102514,JOURNAL ARTICLE
2017,30100947,JOURNAL ARTICLE
2018,30100189,JOURNAL ARTICLE
2018,30099966,JOURNAL ARTICLE
2018,30099657,JOURNAL ARTICLE
2018,30099520,JOURNAL ARTICLE
2018,30098527,JOURNAL ARTICLE
2018,30097656,NEWS
2018,30092633,JOURNAL ARTICLE
2018,30091482,JOURNAL ARTICLE
2018,30091101,JOURNAL ARTICLE
2018,30091099,JOURNAL ARTICLE
2018,30091097,JOURNAL ARTICLE
2018,30091096,JOURNAL ARTICLE
2018,30091092,JOURNAL ARTICLE
2018,30091089,JOURNAL ARTICLE
2018,30089365,JOURNAL ARTICLE
2018,30087931,JOURNAL ARTICLE
2017,30087668,JOURNAL ARTICLE
2017,30087331,JOURNAL ARTICLE
2018,30086446,JOURNAL ARTICLE
2017,30085309,JOURNAL ARTICLE
2018,30084940,JOURNAL ARTICLE
2018,30083609,JOURNAL ARTICLE
2018,30083608,JOURNAL ARTICLE
2018,30082392,JOURNAL ARTICLE
2018,30081641,EDITORIAL
2018,32161801,JOURNAL ARTICLE
2018,30080972,JOURNAL ARTICLE
2017,30080627,JOURNAL ARTICLE
2018,30080309,JOURNAL ARTICLE
2017,30079350,JOURNAL ARTICLE
2018,30079106,JOURNAL ARTICLE
2018,30078555,JOURNAL ARTICLE
2018,30076205,JOURNAL ARTICLE
2018,30075075,JOURNAL ARTICLE
2018,30073203,JOURNAL ARTICLE
2018,30070293,JOURNAL ARTICLE
2017,30069045,COMPARATIVE STUDY
2018,30066189,JOURNAL ARTICLE
2018,30066008,JOURNAL ARTICLE
2018,30063950,JOURNAL ARTICLE
2018,30063715,JOURNAL ARTICLE
2018,30061389,JOURNAL ARTICLE
2018,30061101,JOURNAL ARTICLE
2018,30059835,JOURNAL ARTICLE
2018,30059834,JOURNAL ARTICLE
2018,30059833,JOURNAL ARTICLE
2018,30058303,JOURNAL ARTICLE
2018,30058301,JOURNAL ARTICLE
2018,30056205,JOURNAL ARTICLE
2018,30054478,JOURNAL ARTICLE
2018,30054057,EDITORIAL
2018,30053414,JOURNAL ARTICLE
2018,30052915,JOURNAL ARTICLE
2018,30052876,JOURNAL ARTICLE
2017,30052624,JOURNAL ARTICLE
2017,30050901,JOURNAL ARTICLE
2018,30050028,JOURNAL ARTICLE
2017,30048620,JOURNAL ARTICLE
2017,30045547,JOURNAL ARTICLE
2018,30044604,JOURNAL ARTICLE
2018,30042344,JOURNAL ARTICLE
2018,30041491,JOURNAL ARTICLE
2018,30040895,JOURNAL ARTICLE
2018,30039465,JOURNAL ARTICLE
2018,30039143,JOURNAL ARTICLE
2017,30038365,LETTER
2018,30036678,JOURNAL ARTICLE
2018,30036529,JOURNAL ARTICLE
2018,30033369,JOURNAL ARTICLE
2018,32624947,JOURNAL ARTICLE
2018,30031852,JOURNAL ARTICLE
2018,30031049,JOURNAL ARTICLE
2017,30030488,JOURNAL ARTICLE
2018,30030374,JOURNAL ARTICLE
2018,30030234,JOURNAL ARTICLE
2018,30030154,JOURNAL ARTICLE
2017,30027099,JOURNAL ARTICLE
2017,30027033,JOURNAL ARTICLE
2018,30026810,JOURNAL ARTICLE
2018,30024870,JOURNAL ARTICLE
2018,30023904,JOURNAL ARTICLE
2018,30023409,JOURNAL ARTICLE
2018,30021574,JOURNAL ARTICLE
2018,30021444,JOURNAL ARTICLE
2018,30021068,JOURNAL ARTICLE
2018,30018081,JOURNAL ARTICLE
2017,30017916,JOURNAL ARTICLE
2017,30017582,JOURNAL ARTICLE
2018,30014168,JOURNAL ARTICLE
2017,30013060,JOURNAL ARTICLE
2017,30013044,EVALUATION STUDY
2018,30010218,JOURNAL ARTICLE
2018,30010058,JOURNAL ARTICLE
2017,30008734,JOURNAL ARTICLE
2018,30008425,JOURNAL ARTICLE
2018,30006902,JOURNAL ARTICLE
2018,30006239,JOURNAL ARTICLE
2018,30004705,JOURNAL ARTICLE
2017,30003145,JOURNAL ARTICLE
2018,30001182,JOURNAL ARTICLE
2018,29997617,JOURNAL ARTICLE
2018,29997258,JOURNAL ARTICLE
2018,29996621,JOURNAL ARTICLE
2018,29996548,JOURNAL ARTICLE
2017,29995859,JOURNAL ARTICLE
2018,29994499,JOURNAL ARTICLE
2018,29994183,JOURNAL ARTICLE
2017,29992956,JOURNAL ARTICLE
2018,29991796,NEWS
2018,29991483,JOURNAL ARTICLE
2018,29988523,JOURNAL ARTICLE
2018,29988359,JOURNAL ARTICLE
2018,29988329,JOURNAL ARTICLE
2018,29988052,NEWS
2018,29986428,JOURNAL ARTICLE
2018,29986405,CONGRESS
2018,29986380,JOURNAL ARTICLE
2018,29986118,JOURNAL ARTICLE
2018,29986111,JOURNAL ARTICLE
2018,29986061,JOURNAL ARTICLE
2017,29986052,EVALUATION STUDY
2018,29982623,JOURNAL ARTICLE
2018,29981268,JOURNAL ARTICLE
2018,29981237,JOURNAL ARTICLE
2018,29979867,JOURNAL ARTICLE
2018,29979580,JOURNAL ARTICLE
2018,29978661,JOURNAL ARTICLE
2018,29976061,JOURNAL ARTICLE
2018,29975512,JOURNAL ARTICLE
2018,29973927,JOURNAL ARTICLE
2018,29973148,JOURNAL ARTICLE
2018,29969238,JOURNAL ARTICLE
2018,29969028,COMPARATIVE STUDY
2018,29967360,JOURNAL ARTICLE
2018,29967137,JOURNAL ARTICLE
2018,29963636,JOURNAL ARTICLE
2018,29963553,JOURNAL ARTICLE
2018,29958882,JOURNAL ARTICLE
2018,29958445,JOURNAL ARTICLE
2018,29957031,JOURNAL ARTICLE
2018,29956712,JOURNAL ARTICLE
2018,29952558,JOURNAL ARTICLE
2018,29952081,JOURNAL ARTICLE
2018,29951952,JOURNAL ARTICLE
2018,29950514,JOURNAL ARTICLE
2017,29949952,JOURNAL ARTICLE
2018,29949349,JOURNAL ARTICLE
2018,29948194,JOURNAL ARTICLE
2018,29946542,JOURNAL ARTICLE
2018,29938108,JOURNAL ARTICLE
2018,29944839,JOURNAL ARTICLE
2018,29944832,JOURNAL ARTICLE
2018,29944340,JOURNAL ARTICLE
2017,29942078,JOURNAL ARTICLE
2018,29940102,JOURNAL ARTICLE
2018,29940066,JOURNAL ARTICLE
2018,29937407,JOURNAL ARTICLE
2018,29936670,JOURNAL ARTICLE
2018,29933498,JOURNAL ARTICLE
2018,29932045,JOURNAL ARTICLE
2018,29931794,JOURNAL ARTICLE
2018,29929980,JOURNAL ARTICLE
2018,29928800,JOURNAL ARTICLE
2017,29928050,JOURNAL ARTICLE
2018,29927576,JOURNAL ARTICLE
2018,29926529,JOURNAL ARTICLE
2018,29925035,JOURNAL ARTICLE
2018,29924593,JOURNAL ARTICLE
2018,29924368,JOURNAL ARTICLE
2018,29922315,JOURNAL ARTICLE
2017,29921872,JOURNAL ARTICLE
2018,29915997,JOURNAL ARTICLE
2018,29915609,JOURNAL ARTICLE
2018,29915086,JOURNAL ARTICLE
2018,29913065,JOURNAL ARTICLE
2017,29911196,JOURNAL ARTICLE
2018,29910794,JOURNAL ARTICLE
2018,29910785,JOURNAL ARTICLE
2018,29910775,JOURNAL ARTICLE
2017,29907313,JOURNAL ARTICLE
2017,29907312,JOURNAL ARTICLE
2017,29907311,JOURNAL ARTICLE
2017,29907310,JOURNAL ARTICLE
2017,29907308,JOURNAL ARTICLE
2017,29907307,JOURNAL ARTICLE
2017,29907306,JOURNAL ARTICLE
2018,29907304,JOURNAL ARTICLE
2018,29907301,EDITORIAL
2018,29905834,JOURNAL ARTICLE
2017,29904531,JOURNAL ARTICLE
2017,29902895,JOURNAL ARTICLE
2018,29900853,HISTORICAL ARTICLE
2018,29900423,JOURNAL ARTICLE
2017,29900421,JOURNAL ARTICLE
2017,29900420,JOURNAL ARTICLE
2018,29900367,JOURNAL ARTICLE
2018,29899158,JOURNAL ARTICLE
2018,29897642,JOURNAL ARTICLE
2018,29897091,JOURNAL ARTICLE
2018,29895710,JOURNAL ARTICLE
2018,29894786,JOURNAL ARTICLE
2018,29894167,JOURNAL ARTICLE
2018,29893865,JOURNAL ARTICLE
2018,29892740,JOURNAL ARTICLE
2018,29891706,JOURNAL ARTICLE
2018,29891498,JOURNAL ARTICLE
2018,29890193,JOURNAL ARTICLE
2018,29888776,JOURNAL ARTICLE
2017,29887378,JOURNAL ARTICLE
2017,29887264,JOURNAL ARTICLE
2018,29886740,JOURNAL ARTICLE
2018,29884753,JOURNAL ARTICLE
2018,29883802,JOURNAL ARTICLE
2018,29881788,JOURNAL ARTICLE
2018,29881643,JOURNAL ARTICLE
2018,29881457,JOURNAL ARTICLE
2018,29880229,JOURNAL ARTICLE
2018,29880228,JOURNAL ARTICLE
2017,29878056,JOURNAL ARTICLE
2018,29875284,JOURNAL ARTICLE
2018,29874209,JOURNAL ARTICLE
2017,29872542,JOURNAL ARTICLE
2018,29871481,JOURNAL ARTICLE
2017,29869361,JOURNAL ARTICLE
2018,29868950,JOURNAL ARTICLE
2017,29867863,JOURNAL ARTICLE
2018,29863335,JOURNAL ARTICLE
2018,29862436,JOURNAL ARTICLE
2018,29860823,JOURNAL ARTICLE
2017,29859085,JOURNAL ARTICLE
2018,29858606,JOURNAL ARTICLE
2018,29858485,JOURNAL ARTICLE
2018,29857551,JOURNAL ARTICLE
2018,29855136,JOURNAL ARTICLE
2017,29849027,JOURNAL ARTICLE
2018,29847550,JOURNAL ARTICLE
2017,29844460,JOURNAL ARTICLE
2018,29843430,CONGRESS
2018,29843183,JOURNAL ARTICLE
2018,29812892,JOURNAL ARTICLE
2018,29808949,JOURNAL ARTICLE
2018,29808327,JOURNAL ARTICLE
2018,29806042,JOURNAL ARTICLE
2018,29805991,JOURNAL ARTICLE
2018,29805162,JOURNAL ARTICLE
2018,29804514,JOURNAL ARTICLE
2018,29802477,JOURNAL ARTICLE
2018,29799736,JOURNAL ARTICLE
2018,29797047,JOURNAL ARTICLE
2018,29796897,JOURNAL ARTICLE
2018,29796765,JOURNAL ARTICLE
2018,29793401,JOURNAL ARTICLE
2018,29791796,JOURNAL ARTICLE
2018,29791133,JOURNAL ARTICLE
2017,29789594,JOURNAL ARTICLE
2018,29789549,EDITORIAL
2017,29789543,JOURNAL ARTICLE
2017,29789540,JOURNAL ARTICLE
2018,29789533,JOURNAL ARTICLE
2018,29786761,JOURNAL ARTICLE
2018,29786664,CONGRESS
2017,29784937,JOURNAL ARTICLE
2018,29782151,JOURNAL ARTICLE
2018,29779667,JOURNAL ARTICLE
2018,29779651,JOURNAL ARTICLE
2018,29778531,JOURNAL ARTICLE
2018,29778530,JOURNAL ARTICLE
2018,29777775,JOURNAL ARTICLE
2017,29775652,JOURNAL ARTICLE
2017,29773767,JOURNAL ARTICLE
2017,29772009,JOURNAL ARTICLE
2018,29771512,JOURNAL ARTICLE
2018,29770379,JOURNAL ARTICLE
2017,29769737,JOURNAL ARTICLE
2017,29765865,JOURNAL ARTICLE
2018,29764955,EDITORIAL
2018,29762650,JOURNAL ARTICLE
2017,29761363,JOURNAL ARTICLE
2018,29760772,JOURNAL ARTICLE
2017,29760422,JOURNAL ARTICLE
2018,29758287,JOURNAL ARTICLE
2018,29757649,JOURNAL ARTICLE
2018,29757279,JOURNAL ARTICLE
2018,29754445,JOURNAL ARTICLE
2018,29754247,JOURNAL ARTICLE
2018,29754246,JOURNAL ARTICLE
2018,29754245,JOURNAL ARTICLE
2018,29754244,JOURNAL ARTICLE
2018,29754243,JOURNAL ARTICLE
2018,29754241,JOURNAL ARTICLE
2018,29754240,JOURNAL ARTICLE
2018,29754239,JOURNAL ARTICLE
2018,29754237,JOURNAL ARTICLE
2018,29754236,JOURNAL ARTICLE
2018,29754234,JOURNAL ARTICLE
2018,29754233,JOURNAL ARTICLE
2018,29754230,JOURNAL ARTICLE
2018,29754223,JOURNAL ARTICLE
2018,29754221,JOURNAL ARTICLE
2018,29754220,JOURNAL ARTICLE
2018,29753362,EDITORIAL
2018,29753070,JOURNAL ARTICLE
2018,29752265,JOURNAL ARTICLE
2018,29751161,JOURNAL ARTICLE
2018,29750783,JOURNAL ARTICLE
2017,29750145,JOURNAL ARTICLE
2017,29750129,JOURNAL ARTICLE
2018,29749673,JOURNAL ARTICLE
2018,29746788,JOURNAL ARTICLE
2018,29746091,JOURNAL ARTICLE
2018,29745649,JOURNAL ARTICLE
2018,29744631,JOURNAL ARTICLE
2018,29741924,JOURNAL ARTICLE
2018,29741723,JOURNAL ARTICLE
2018,29740742,JOURNAL ARTICLE
2018,29740109,JOURNAL ARTICLE
2017,29739943,JOURNAL ARTICLE
2017,29736607,JOURNAL ARTICLE
2018,29735682,JOURNAL ARTICLE
2018,29733997,JOURNAL ARTICLE
2018,29733631,JOURNAL ARTICLE
2018,29733627,JOURNAL ARTICLE
2018,29733626,JOURNAL ARTICLE
2018,29733546,EDITORIAL
2018,29733444,JOURNAL ARTICLE
2017,29730250,JOURNAL ARTICLE
2017,29729544,JOURNAL ARTICLE
2017,29729378,JOURNAL ARTICLE
2018,29729377,JOURNAL ARTICLE
2017,29729376,JOURNAL ARTICLE
2017,29729316,JOURNAL ARTICLE
2018,29729131,JOURNAL ARTICLE
2018,29728885,JOURNAL ARTICLE
2018,29728402,JOURNAL ARTICLE
2018,29728377,JOURNAL ARTICLE
2018,29727574,JOURNAL ARTICLE
2018,29727246,JOURNAL ARTICLE
2018,29725066,JOURNAL ARTICLE
2017,29725007,JOURNAL ARTICLE
2018,29723968,CONGRESS
2017,29719789,JOURNAL ARTICLE
2018,29717256,NEWS
2018,29715010,JOURNAL ARTICLE
2018,29709170,JOURNAL ARTICLE
2017,29707196,JOURNAL ARTICLE
2017,29706540,JOURNAL ARTICLE
2018,29704654,JOURNAL ARTICLE
2018,29704372,JOURNAL ARTICLE
2018,29703734,JOURNAL ARTICLE
2018,29702274,JOURNAL ARTICLE
2018,29702227,JOURNAL ARTICLE
2018,29702108,JOURNAL ARTICLE
2018,29701961,JOURNAL ARTICLE
2018,29700076,JOURNAL ARTICLE
2018,29690763,JOURNAL ARTICLE
2018,29690761,JOURNAL ARTICLE
2018,29690759,JOURNAL ARTICLE
2018,29689603,JOURNAL ARTICLE
2017,29688313,JOURNAL ARTICLE
2018,29687993,JOURNAL ARTICLE
2018,29686096,BIOGRAPHY
2018,29685820,JOURNAL ARTICLE
2017,29680684,JOURNAL ARTICLE
2017,29680377,JOURNAL ARTICLE
2017,29678658,JOURNAL ARTICLE
2018,29678175,JOURNAL ARTICLE
2018,29676894,JOURNAL ARTICLE
2018,29676062,JOURNAL ARTICLE
2018,29675615,JOURNAL ARTICLE
2017,29674113,JOURNAL ARTICLE
2018,29672769,JOURNAL ARTICLE
2018,29671930,JOURNAL ARTICLE
2017,29670084,JOURNAL ARTICLE
2017,29669854,JOURNAL ARTICLE
2018,29666238,JOURNAL ARTICLE
2017,29665411,JOURNAL ARTICLE
2018,29664348,JOURNAL ARTICLE
2018,29664345,JOURNAL ARTICLE
2018,29664344,JOURNAL ARTICLE
2016,29663121,JOURNAL ARTICLE
2018,29663032,JOURNAL ARTICLE
2018,29660341,JOURNAL ARTICLE
2018,29659246,JOURNAL ARTICLE
2018,29658492,JOURNAL ARTICLE
2017,29657966,JOURNAL ARTICLE
2018,29657814,JOURNAL ARTICLE
2018,29655899,JOURNAL ARTICLE
2017,29654382,JOURNAL ARTICLE
2018,29654320,JOURNAL ARTICLE
2018,29654178,JOURNAL ARTICLE
2018,29653055,JOURNAL ARTICLE
2018,29652250,JOURNAL ARTICLE
2017,29651464,JOURNAL ARTICLE
2018,29650958,JOURNAL ARTICLE
2017,29649473,JOURNAL ARTICLE
2018,29648592,JOURNAL ARTICLE
2018,29641183,JOURNAL ARTICLE
2017,29636541,JOURNAL ARTICLE
2018,29634242,JOURNAL ARTICLE
2017,29632258,JOURNAL ARTICLE
2017,29631320,JOURNAL ARTICLE
2017,29629370,JOURNAL ARTICLE
2018,29627506,JOURNAL ARTICLE
2018,29627458,JOURNAL ARTICLE
2017,29625224,JOURNAL ARTICLE
2018,29625007,JOURNAL ARTICLE
2018,29625004,JOURNAL ARTICLE
2018,29621218,JOURNAL ARTICLE
2018,29620866,JOURNAL ARTICLE
2018,29619745,JOURNAL ARTICLE
2017,29619298,JOURNAL ARTICLE
2018,29617873,JOURNAL ARTICLE
2018,29617125,JOURNAL ARTICLE
2017,29616314,JOURNAL ARTICLE
2017,29610454,JOURNAL ARTICLE
2018,29609457,JOURNAL ARTICLE
2018,29609044,JOURNAL ARTICLE
2018,29605941,JOURNAL ARTICLE
2018,29605823,JOURNAL ARTICLE
2018,29603527,JOURNAL ARTICLE
2018,29603429,JOURNAL ARTICLE
2018,29602787,JOURNAL ARTICLE
2018,29596994,JOURNAL ARTICLE
2018,29596741,JOURNAL ARTICLE
2018,29596055,JOURNAL ARTICLE
2017,29595107,JOURNAL ARTICLE
2018,29590011,JOURNAL ARTICLE
2018,29589973,JOURNAL ARTICLE
2017,29588660,JOURNAL ARTICLE
2018,29584672,JOURNAL ARTICLE
2018,29584406,JOURNAL ARTICLE
2018,29582241,JOURNAL ARTICLE
2018,29581172,JOURNAL ARTICLE
2018,29580240,JOURNAL ARTICLE
2017,29579544,JOURNAL ARTICLE
2017,29579101,JOURNAL ARTICLE
2017,29578536,JOURNAL ARTICLE
2018,29577124,JOURNAL ARTICLE
2017,29576068,JOURNAL ARTICLE
2018,29574613,JOURNAL ARTICLE
2017,29574330,JOURNAL ARTICLE
2017,29574056,JOURNAL ARTICLE
2018,29570353,JOURNAL ARTICLE
2018,29570180,EDITORIAL
2018,29570063,JOURNAL ARTICLE
2018,29569633,JOURNAL ARTICLE
2017,29569306,JOURNAL ARTICLE
2017,29569181,JOURNAL ARTICLE
2018,29567581,JOURNAL ARTICLE
2018,29566487,JOURNAL ARTICLE
2017,29566038,JOURNAL ARTICLE
2018,29565285,JOURNAL ARTICLE
2018,29564885,JOURNAL ARTICLE
2017,29564145,JOURNAL ARTICLE
2017,29563859,JOURNAL ARTICLE
2017,29560534,JOURNAL ARTICLE
2018,29558152,JOURNAL ARTICLE
2017,29557518,JOURNAL ARTICLE
2017,29556536,JOURNAL ARTICLE
2018,29556520,JOURNAL ARTICLE
2018,29555762,JOURNAL ARTICLE
2018,29555759,JOURNAL ARTICLE
2018,29555731,JOURNAL ARTICLE
2017,29555455,JOURNAL ARTICLE
2018,29555379,JOURNAL ARTICLE
2018,29552703,JOURNAL ARTICLE
2018,29552673,JOURNAL ARTICLE
2017,29552656,JOURNAL ARTICLE
2017,29552654,JOURNAL ARTICLE
2017,29552650,JOURNAL ARTICLE
2017,29550614,JOURNAL ARTICLE
2017,29549707,JOURNAL ARTICLE
2018,29548983,JOURNAL ARTICLE
2018,29547341,JOURNAL ARTICLE
2017,29546662,JOURNAL ARTICLE
2017,29545566,JOURNAL ARTICLE
2017,29545147,JOURNAL ARTICLE
2018,29544054,JOURNAL ARTICLE
2017,29541635,JOURNAL ARTICLE
2017,29540540,JOURNAL ARTICLE
2018,29534892,JOURNAL ARTICLE
2017,29534758,JOURNAL ARTICLE
2017,29534717,JOURNAL ARTICLE
2018,29533845,JOURNAL ARTICLE
2017,29532902,JOURNAL ARTICLE
2018,29528686,JOURNAL ARTICLE
2016,29528337,JOURNAL ARTICLE
2017,29521202,JOURNAL ARTICLE
2017,29518713,JOURNAL ARTICLE
2017,29518499,JOURNAL ARTICLE
2018,29516725,JOURNAL ARTICLE
2017,29516141,JOURNAL ARTICLE
2018,29513000,LETTER
2018,29512855,LETTER
2017,29511798,JOURNAL ARTICLE
2018,29510026,JOURNAL ARTICLE
2018,29509709,JOURNAL ARTICLE
2018,29509695,JOURNAL ARTICLE
2018,29508159,JOURNAL ARTICLE
2018,29507236,JOURNAL ARTICLE
2018,29507215,JOURNAL ARTICLE
2018,29503457,JOURNAL ARTICLE
2018,29503427,JOURNAL ARTICLE
2017,29501949,JOURNAL ARTICLE
2017,29501702,JOURNAL ARTICLE
2017,29500529,JOURNAL ARTICLE
2017,29494845,JOURNAL ARTICLE
2017,29493806,JOURNAL ARTICLE
2018,29493216,JOURNAL ARTICLE
2017,29490277,JOURNAL ARTICLE
2018,29489458,JOURNAL ARTICLE
2018,29489336,LETTER
2017,29487800,JOURNAL ARTICLE
2017,29487195,JOURNAL ARTICLE
2018,29486123,JOURNAL ARTICLE
2017,29485214,JOURNAL ARTICLE
2017,29483901,JOURNAL ARTICLE
2017,29483900,JOURNAL ARTICLE
2017,29483550,JOURNAL ARTICLE
2017,29483042,JOURNAL ARTICLE
2017,29479789,JOURNAL ARTICLE
2018,29479639,JOURNAL ARTICLE
2018,29478233,JOURNAL ARTICLE
2017,29478140,JOURNAL ARTICLE
2017,29477627,JOURNAL ARTICLE
2017,29477351,JOURNAL ARTICLE
2017,32161795,JOURNAL ARTICLE
2017,29476632,JOURNAL ARTICLE
2017,29476618,JOURNAL ARTICLE
2018,29476402,JOURNAL ARTICLE
2018,29476316,JOURNAL ARTICLE
2017,29476261,JOURNAL ARTICLE
2017,29476125,JOURNAL ARTICLE
2018,29474887,JOURNAL ARTICLE
2018,29474058,LETTER
2018,29473413,JOURNAL ARTICLE
2017,29472639,JOURNAL ARTICLE
2017,29472573,JOURNAL ARTICLE
2016,29472537,JOURNAL ARTICLE
2017,29472367,JOURNAL ARTICLE
2017,29471044,JOURNAL ARTICLE
2018,29469991,JOURNAL ARTICLE
2018,29466321,JOURNAL ARTICLE
2018,29465723,JOURNAL ARTICLE
2018,29463739,JOURNAL ARTICLE
2017,29458431,JOURNAL ARTICLE
2018,29457239,EDITORIAL
2018,29455527,JOURNAL ARTICLE
2017,29454496,JOURNAL ARTICLE
2017,29454348,JOURNAL ARTICLE
2018,29453843,JOURNAL ARTICLE
2018,29453841,JOURNAL ARTICLE
2018,29453839,JOURNAL ARTICLE
2018,29453838,JOURNAL ARTICLE
2018,29453835,JOURNAL ARTICLE
2018,29453274,JOURNAL ARTICLE
2017,29451909,JOURNAL ARTICLE
2018,29451490,JOURNAL ARTICLE
2017,29449881,JOURNAL ARTICLE
2018,29448095,JOURNAL ARTICLE
2017,29445390,JOURNAL ARTICLE
2018,29444823,INTRODUCTORY JOURNAL ARTICLE
2017,29444489,JOURNAL ARTICLE
2018,29443984,JOURNAL ARTICLE
2018,29443972,JOURNAL ARTICLE
2018,29442428,JOURNAL ARTICLE
2017,29440690,JOURNAL ARTICLE
2018,29440500,JOURNAL ARTICLE
2018,29439214,JOURNAL ARTICLE
2017,29436783,JOURNAL ARTICLE
2017,29436515,JOURNAL ARTICLE
2018,29435550,JOURNAL ARTICLE
2017,29430725,JOURNAL ARTICLE
2018,29429333,JOURNAL ARTICLE
2018,29429329,JOURNAL ARTICLE
2018,29429328,JOURNAL ARTICLE
2017,29428414,JOURNAL ARTICLE
2017,29426712,JOURNAL ARTICLE
2018,29426227,JOURNAL ARTICLE
2017,29425325,JOURNAL ARTICLE
2017,29423743,JOURNAL ARTICLE
2017,29423631,JOURNAL ARTICLE
2018,29420866,JOURNAL ARTICLE
2016,29420816,JOURNAL ARTICLE
2017,29414718,JOURNAL ARTICLE
2017,29414057,JOURNAL ARTICLE
2017,29412133,JOURNAL ARTICLE
2018,29411648,JOURNAL ARTICLE
2017,29410437,JOURNAL ARTICLE
2017,29409059,JOURNAL ARTICLE
2017,29408997,JOURNAL ARTICLE
2017,29407230,JOURNAL ARTICLE
2018,29393631,LETTER
2017,29389936,JOURNAL ARTICLE
2017,29387172,JOURNAL ARTICLE
2017,29386971,JOURNAL ARTICLE
2017,29386648,JOURNAL ARTICLE
2018,29386463,JOURNAL ARTICLE
2018,29385893,JOURNAL ARTICLE
2017,29385546,JOURNAL ARTICLE
2017,29383456,BIOGRAPHY
2017,31015627,JOURNAL ARTICLE
2017,29380152,JOURNAL ARTICLE
2017,29380150,JOURNAL ARTICLE
2017,29377894,JOURNAL ARTICLE
2017,29377624,JOURNAL ARTICLE
2018,29374062,JOURNAL ARTICLE
2017,29371884,JOURNAL ARTICLE
2017,29371150,JOURNAL ARTICLE
2017,29370801,JOURNAL ARTICLE
2018,29369716,JOURNAL ARTICLE
2018,29369714,JOURNAL ARTICLE
2018,29369713,EDITORIAL
2018,29369712,JOURNAL ARTICLE
2018,29369711,JOURNAL ARTICLE
2018,29369710,JOURNAL ARTICLE
2018,29369709,JOURNAL ARTICLE
2018,29368114,JOURNAL ARTICLE
2018,29367962,JOURNAL ARTICLE
2017,29367662,JOURNAL ARTICLE
2018,29366323,JOURNAL ARTICLE
2018,29366321,JOURNAL ARTICLE
2018,29364519,JOURNAL ARTICLE
2017,29361130,JOURNAL ARTICLE
2017,29359808,JOURNAL ARTICLE
2017,29359657,JOURNAL ARTICLE
2017,29359652,JOURNAL ARTICLE
2017,29357936,JOURNAL ARTICLE
2018,29354650,JOURNAL ARTICLE
2017,29354285,JOURNAL ARTICLE
2017,29354284,JOURNAL ARTICLE
2017,29352615,JOURNAL ARTICLE
2017,29351298,JOURNAL ARTICLE
2018,29349729,EDITORIAL
2017,29346617,JOURNAL ARTICLE
2018,29345976,JOURNAL ARTICLE
2018,29343642,JOURNAL ARTICLE
2018,29343191,JOURNAL ARTICLE
2018,29343065,JOURNAL ARTICLE
2018,29341603,JOURNAL ARTICLE
2018,29339554,JOURNAL ARTICLE
2017,29338718,JOURNAL ARTICLE
2018,29338214,JOURNAL ARTICLE
2018,29337969,JOURNAL ARTICLE
2018,29337965,JOURNAL ARTICLE
2018,29336153,JOURNAL ARTICLE
2017,29334382,JOURNAL ARTICLE
2018,29334092,JOURNAL ARTICLE
2017,29331410,JOURNAL ARTICLE
2017,29330665,JOURNAL ARTICLE
2018,29326254,HISTORICAL ARTICLE
